date,sopr
2022-07-31,0.9967
2022-08-01,1.0
2022-08-02,0.9977
2022-08-03,0.9994
2022-08-04,0.9958
2022-08-05,1.0
2022-08-06,0.9998
2022-08-07,0.9998
2022-08-08,1.0006
2022-08-09,0.994
2022-08-10,1.0022
2022-08-11,0.9999
2022-08-12,1.0007
2022-08-13,1.0004
2022-08-14,0.9986
2022-08-15,0.9984
2022-08-16,0.9996
2022-08-17,0.9974
2022-08-18,0.9986
2022-08-19,0.9924
2022-08-20,0.9986
2022-08-21,0.9992
2022-08-22,0.9975
2022-08-23,0.9987
2022-08-24,0.9981
2022-08-25,0.9975
2022-08-26,0.9955
2022-08-27,0.9951
2022-08-28,0.9991
2022-08-29,0.9995
2022-08-30,0.9926
2022-08-31,0.9979
2022-09-01,0.9965
2022-09-02,0.9962
2022-09-03,0.998
2022-09-04,1.0008
2022-09-05,0.9985
2022-09-06,0.996
2022-09-07,0.9976
2022-09-08,0.9977
2022-09-09,1.0025
2022-09-10,1.0005
2022-09-11,0.9981
2022-09-12,1.001
2022-09-13,0.9833
2022-09-14,0.9948
2022-09-15,0.9937
2022-09-16,0.9973
2022-09-17,0.9981
2022-09-18,0.9969
2022-09-19,0.9957
2022-09-20,0.9963
2022-09-21,0.9968
2022-09-22,0.9986
2022-09-23,0.9973
2022-09-24,0.9981
2022-09-25,0.9971
2022-09-26,0.9987
2022-09-27,0.9966
2022-09-28,0.9944
2022-09-29,0.9968
2022-09-30,0.9949
2022-10-01,0.9975
2022-10-02,0.9966
2022-10-03,0.9981
2022-10-04,0.999
2022-10-05,0.9974
2022-10-06,0.9971
2022-10-07,0.9951
2022-10-08,0.9937
2022-10-09,0.9987
2022-10-10,0.9959
2022-10-11,0.9968
2022-10-12,0.9902
2022-10-13,0.9973
2022-10-14,0.9977
2022-10-15,0.9967
2022-10-16,0.9961
2022-10-17,0.9876
2022-10-18,1.0056
2022-10-19,0.995
2022-10-20,0.9962
2022-10-21,0.9969
2022-10-22,0.9885
2022-10-23,0.9994
2022-10-24,0.9988
2022-10-25,1.002
2022-10-26,1.0032
2022-10-27,1.0005
2022-10-28,0.9984
2022-10-29,1.0002
2022-10-30,0.9963
2022-10-31,0.9977
2022-11-01,0.9973
2022-11-02,0.9981
2022-11-03,0.9991
2022-11-04,1.0062
2022-11-05,0.9984
2022-11-06,0.9991
2022-11-07,0.9871
2022-11-08,0.9839
2022-11-09,0.9698
2022-11-10,0.9899
2022-11-11,0.9908
2022-11-12,0.9767
2022-11-13,0.9954
2022-11-14,0.9865
2022-11-15,0.9851
2022-11-16,0.9746
2022-11-17,0.9438
2022-11-18,0.871
2022-11-19,0.9895
2022-11-20,0.9902
2022-11-21,0.9746
2022-11-22,0.9786
2022-11-23,1.0079
2022-11-24,0.9864
2022-11-25,0.9876
2022-11-26,0.9872
2022-11-27,0.992
2022-11-28,0.9675
2022-11-29,0.9875
2022-11-30,0.9877
2022-12-01,0.9899
2022-12-02,0.9817
2022-12-03,0.9917
2022-12-04,0.9782
2022-12-05,0.928
2022-12-06,0.99
2022-12-07,0.9944
2022-12-08,0.9885
2022-12-09,0.9794
2022-12-10,0.9993
2022-12-11,0.9887
2022-12-12,0.9899
2022-12-13,0.993
2022-12-14,0.9881
2022-12-15,0.9937
2022-12-16,0.9899
2022-12-17,0.9884
2022-12-18,0.9942
2022-12-19,0.9711
2022-12-20,0.9938
2022-12-21,0.9815
2022-12-22,0.9898
2022-12-23,0.9886
2022-12-24,0.993
2022-12-25,0.9791
2022-12-26,0.9955
2022-12-27,0.9844
2022-12-28,0.9646
2022-12-29,0.9747
2022-12-30,0.9899
2022-12-31,0.9283
2023-01-01,0.9936
2023-01-02,0.9967
2023-01-03,0.9881
2023-01-04,0.9854
2023-01-05,0.9906
2023-01-06,0.9325
2023-01-07,0.9929
2023-01-08,0.9966
2023-01-09,0.9988
2023-01-10,0.9878
2023-01-11,0.98
2023-01-12,1.0081
2023-01-13,1.0096
2023-01-14,1.014
2023-01-15,1.0039
2023-01-16,1.0102
2023-01-17,1.0117
2023-01-18,1.0009
2023-01-19,0.9917
2023-01-20,1.0108
2023-01-21,1.0127
2023-01-22,1.0088
2023-01-23,1.0051
2023-01-24,1.0069
2023-01-25,1.0053
2023-01-26,0.99
2023-01-27,0.9885
2023-01-28,1.0047
2023-01-29,1.0087
2023-01-30,1.0035
2023-01-31,1.0058
2023-02-01,1.018
2023-02-02,1.009
2023-02-03,1.0054
2023-02-04,1.0123
2023-02-05,1.0001
2023-02-06,1.0025
2023-02-07,1.0023
2023-02-08,1.0044
2023-02-09,0.9988
2023-02-10,0.9949
2023-02-11,0.999
2023-02-12,0.9982
2023-02-13,0.9961
2023-02-14,0.9992
2023-02-15,1.0101
2023-02-16,1.0138
2023-02-17,1.0044
2023-02-18,1.0039
2023-02-19,1.005
2023-02-20,1.0061
2023-02-21,1.0035
2023-02-22,0.9948
2023-02-23,1.0042
2023-02-24,0.9977
2023-02-25,0.9946
2023-02-26,1.0018
2023-02-27,1.0039
2023-02-28,0.9815
2023-03-01,0.9929
2023-03-02,0.9971
2023-03-03,0.9919
2023-03-04,0.9993
2023-03-05,0.9828
2023-03-06,0.9945
2023-03-07,0.9422
2023-03-08,0.9955
2023-03-09,0.9863
2023-03-10,0.9815
2023-03-11,0.9949
2023-03-12,0.9999
2023-03-13,1.0184
2023-03-14,1.0204
2023-03-15,1.0099
2023-03-16,1.0099
2023-03-17,1.03
2023-03-18,1.0108
2023-03-19,1.0101
2023-03-20,1.0111
2023-03-21,1.0118
2023-03-22,1.0086
2023-03-23,1.0186
2023-03-24,1.0059
2023-03-25,1.0017
2023-03-26,1.0078
2023-03-27,1.0167
2023-03-28,1.0036
2023-03-29,1.0102
2023-03-30,0.8833
2023-03-31,1.0119
2023-04-01,1.0073
2023-04-02,1.0021
2023-04-03,1.004
2023-04-04,1.004
2023-04-05,1.0074
2023-04-06,1.0043
2023-04-07,0.9958
2023-04-08,1.0024
2023-04-09,1.0024
2023-04-10,1.009
2023-04-11,1.0245
2023-04-12,1.0038
2023-04-13,1.0141
2023-04-14,1.0129
2023-04-15,1.0027
2023-04-16,1.0042
2023-04-17,1.0001
2023-04-18,1.0131
2023-04-19,1.0095
2023-04-20,0.9992
2023-04-21,1.0019
2023-04-22,0.9998
2023-04-23,1.0048
2023-04-24,0.9979
2023-04-25,0.9999
2023-04-26,1.0115
2023-04-27,1.0054
2023-04-28,1.0109
2023-04-29,1.003
2023-04-30,1.0018
2023-05-01,0.9966
2023-05-02,1.0045
2023-05-03,1.0223
2023-05-04,1.0024
2023-05-05,1.0057
2023-05-06,1.0003
2023-05-07,1.0746
2023-05-08,1.0052
2023-05-09,0.9961
2023-05-10,0.9996
2023-05-11,0.9966
2023-05-12,0.998
2023-05-13,0.9992
2023-05-14,1.0028
2023-05-15,1.0227
2023-05-16,1.0047
2023-05-17,1.0005
2023-05-18,0.9981
2023-05-19,0.9964
2023-05-20,1.0019
2023-05-21,1.0004
2023-05-22,1.0238
2023-05-23,1.003
2023-05-24,0.9969
2023-05-25,1.0103
2023-05-26,1.0001
2023-05-27,0.9998
2023-05-28,1.0069
2023-05-29,1.0045
2023-05-30,1.0056
2023-05-31,0.9999
2023-06-01,1.0018
2023-06-02,1.002
2023-06-03,0.9995
2023-06-04,1.0001
2023-06-05,0.997
2023-06-06,1.0005
2023-06-07,1.0011
2023-06-08,1.0004
2023-06-09,1.0001
2023-06-10,0.9958
2023-06-11,0.9987
2023-06-12,0.9973
2023-06-13,0.9988
2023-06-14,0.9997
2023-06-15,0.9944
2023-06-16,1.0009
2023-06-17,1.0005
2023-06-18,1.0064
2023-06-19,0.9912
2023-06-20,1.0004
2023-06-21,1.0144
2023-06-22,1.0113
2023-06-23,1.0127
2023-06-24,1.0098
2023-06-25,1.0056
2023-06-26,1.0075
2023-06-27,1.0141
2023-06-28,1.0133
2023-06-29,1.0005
2023-06-30,1.0096
2023-07-01,1.0244
2023-07-02,1.0052
2023-07-03,1.007
2023-07-04,1.0042
2023-07-05,1.0027
2023-07-06,0.9858
2023-07-07,1.0026
2023-07-08,1.0017
2023-07-09,1.0023
2023-07-10,1.0043
2023-07-11,1.0083
2023-07-12,1.0054
2023-07-13,1.0014
2023-07-14,1.0031
2023-07-15,1.0006
2023-07-16,1.0012
2023-07-17,0.996
2023-07-18,1.0051
2023-07-19,1.0076
2023-07-20,1.0028
2023-07-21,0.9943
2023-07-22,1.0009
2023-07-23,1.0034
2023-07-24,0.997
2023-07-25,0.9994
2023-07-26,0.9995
2023-07-27,0.9856
2023-07-28,0.948
2023-07-29,1.0014
2023-07-30,1.0001
2023-07-31,0.998
2023-08-01,1.0
2023-08-02,0.9948
2023-08-03,1.0007
2023-08-04,1.0014
2023-08-05,1.0
2023-08-06,1.0016
2023-08-07,0.9996
2023-08-08,1.0015
2023-08-09,1.0032
2023-08-10,1.0004
2023-08-11,1.0027
2023-08-12,1.0026
2023-08-13,1.0023
2023-08-14,1.0019
2023-08-15,1.001
2023-08-16,0.9994
2023-08-17,0.9952
2023-08-18,0.9871
2023-08-19,0.9964
2023-08-20,0.9974
2023-08-21,0.9928
