date,mvrv
2015-01-01,0.98274685
2015-01-02,0.98668726
2015-01-03,0.89443575
2015-01-04,0.826303
2015-01-05,0.86470946
2015-01-06,0.90423431
2015-01-07,0.93577843
2015-01-08,0.89651769
2015-01-09,0.9241025
2015-01-10,0.87375367
2015-01-11,0.85069708
2015-01-12,0.85146752
2015-01-13,0.71350593
2015-01-14,0.56357972
2015-01-15,0.68179854
2015-01-16,0.66753485
2015-01-17,0.64325099
2015-01-18,0.68000493
2015-01-19,0.69895138
2015-01-20,0.68366065
2015-01-21,0.73912676
2015-01-22,0.75789177
2015-01-23,0.75661441
2015-01-24,0.8081469
2015-01-25,0.8258294
2015-01-26,0.89147229
2015-01-27,0.86202293
2015-01-28,0.76846781
2015-01-29,0.76357085
2015-01-30,0.74804548
2015-01-31,0.71163625
2015-02-01,0.74387279
2015-02-02,0.78676033
2015-02-03,0.74694335
2015-02-04,0.7443882
2015-02-05,0.71333929
2015-02-06,0.73237364
2015-02-07,0.75214553
2015-02-08,0.73731062
2015-02-09,0.72729218
2015-02-10,0.72810409
2015-02-11,0.72439005
2015-02-12,0.73482642
2015-02-13,0.78098836
2015-02-14,0.85038033
2015-02-15,0.7743708
2015-02-16,0.77684571
2015-02-17,0.80607357
2015-02-18,0.78023417
2015-02-19,0.80139075
2015-02-20,0.81236962
2015-02-21,0.81269734
2015-02-22,0.78366869
2015-02-23,0.79211394
2015-02-24,0.79522354
2015-02-25,0.79086428
2015-02-26,0.78721981
2015-02-27,0.8470053
2015-02-28,0.84675657
2015-03-01,0.86514949
2015-03-02,0.91679724
2015-03-03,0.9391453
2015-03-04,0.90841341
2015-03-05,0.91835146
2015-03-06,0.90850025
2015-03-07,0.91980286
2015-03-08,0.91749265
2015-03-09,0.96777239
2015-03-10,0.9731036
2015-03-11,0.98702529
2015-03-12,0.98143882
2015-03-13,0.95005909
2015-03-14,0.94250473
2015-03-15,0.95476771
2015-03-16,0.96883474
2015-03-17,0.94842564
2015-03-18,0.85686576
2015-03-19,0.87346947
2015-03-20,0.87674824
2015-03-21,0.87101347
2015-03-22,0.89689624
2015-03-23,0.89015559
2015-03-24,0.8245462
2015-03-25,0.82488492
2015-03-26,0.834809
2015-03-27,0.82811622
2015-03-28,0.84785463
2015-03-29,0.81383575
2015-03-30,0.83226724
2015-03-31,0.82051756
2015-04-01,0.83080879
2015-04-02,0.85233643
2015-04-03,0.85676268
2015-04-04,0.85381712
2015-04-05,0.87790912
2015-04-06,0.86213123
2015-04-07,0.85722526
2015-04-08,0.82735719
2015-04-09,0.82153081
2015-04-10,0.7967323
2015-04-11,0.80216867
2015-04-12,0.80176151
2015-04-13,0.76357046
2015-04-14,0.74489185
2015-04-15,0.75926768
2015-04-16,0.77719921
2015-04-17,0.75827898
2015-04-18,0.76055574
2015-04-19,0.76035314
2015-04-20,0.76631946
2015-04-21,0.80085177
2015-04-22,0.79730639
2015-04-23,0.80445024
2015-04-24,0.78956794
2015-04-25,0.77276772
2015-04-26,0.75294572
2015-04-27,0.77665961
2015-04-28,0.77087913
2015-04-29,0.77154151
2015-04-30,0.80792304
2015-05-01,0.7959527
2015-05-02,0.80559481
2015-05-03,0.8223728
2015-05-04,0.81741779
2015-05-05,0.80768013
2015-05-06,0.78562752
2015-05-07,0.81202047
2015-05-08,0.83681725
2015-05-09,0.83113721
2015-05-10,0.82457424
2015-05-11,0.83050336
2015-05-12,0.83069449
2015-05-13,0.81161902
2015-05-14,0.81336253
2015-05-15,0.81536167
2015-05-16,0.80981981
2015-05-17,0.81389832
2015-05-18,0.80026593
2015-05-19,0.79745588
2015-05-20,0.80520035
2015-05-21,0.81004487
2015-05-22,0.82662537
2015-05-23,0.8221977
2015-05-24,0.82826864
2015-05-25,0.81597835
2015-05-26,0.8155281
2015-05-27,0.81731823
2015-05-28,0.81693429
2015-05-29,0.81601049
2015-05-30,0.80519424
2015-05-31,0.79414393
2015-06-01,0.77376466
2015-06-02,0.78141163
2015-06-03,0.781559
2015-06-04,0.77606861
2015-06-05,0.78040202
2015-06-06,0.78204257
2015-06-07,0.77660755
2015-06-08,0.79532581
2015-06-09,0.79751177
2015-06-10,0.79522298
2015-06-11,0.79912895
2015-06-12,0.79991673
2015-06-13,0.81144066
2015-06-14,0.80992401
2015-06-15,0.8248878
2015-06-16,0.87513216
2015-06-17,0.86325931
2015-06-18,0.86709753
2015-06-19,0.85251691
2015-06-20,0.85520736
2015-06-21,0.85070324
